,Data_Value,colx,nIndex
1504,48.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012MT
1505,72.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012MT
1506,27.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012MT
1507,53.1,Cigarette Use (Adults)Smoking StatusNever,2012MT
1508,19.7,Cigarette Use (Adults)Smoking StatusCurrent,2012MT
1509,27.2,Cigarette Use (Adults)Smoking StatusFormer,2012MT
1510,56.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012US
1511,52.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012US
1512,19.6,Cigarette Use (Adults)Smoking StatusCurrent,2012US
1513,25.2,Cigarette Use (Adults)Smoking StatusFormer,2012US
1514,19.7,Cigarette Use (Adults)Current Smoking,2012NE
1515,55.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012NE
1516,51.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012NE
1517,26.2,Cigarette Use (Adults)Smoking FrequencySome Days,2012NE
1518,73.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012NE
1519,55.9,Cigarette Use (Adults)Smoking StatusNever,2012NE
1520,24.4,Cigarette Use (Adults)Smoking StatusFormer,2012NE
1521,19.7,Cigarette Use (Adults)Smoking StatusCurrent,2012NE
1522,18.1,Cigarette Use (Adults)Current Smoking,2012NV
1523,57.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012NV
1524,52.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012NV
1525,68.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012NV
1526,31.1,Cigarette Use (Adults)Smoking FrequencySome Days,2012NV
1527,57.4,Cigarette Use (Adults)Smoking StatusNever,2012NV
1528,18.1,Cigarette Use (Adults)Smoking StatusCurrent,2012NV
1529,24.5,Cigarette Use (Adults)Smoking StatusFormer,2012NV
1530,17.2,Cigarette Use (Adults)Current Smoking,2012NH
1531,64.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012NH
1532,55.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012NH
1533,78.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012NH
1534,21.9,Cigarette Use (Adults)Smoking FrequencySome Days,2012NH
1535,17.2,Cigarette Use (Adults)Smoking StatusCurrent,2012NH
1536,31.6,Cigarette Use (Adults)Smoking StatusFormer,2012NH
1537,51.3,Cigarette Use (Adults)Smoking StatusNever,2012NH
1538,17.3,Cigarette Use (Adults)Current Smoking,2012NJ
1539,59.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012NJ
1540,57.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012NJ
1541,33.4,Cigarette Use (Adults)Smoking FrequencySome Days,2012NJ
1542,66.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012NJ
1543,57.2,Cigarette Use (Adults)Smoking StatusNever,2012NJ
1544,25.5,Cigarette Use (Adults)Smoking StatusFormer,2012NJ
1545,17.3,Cigarette Use (Adults)Smoking StatusCurrent,2012NJ
1546,19.3,Cigarette Use (Adults)Current Smoking,2012NM
1547,56.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012NM
1548,50.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012NM
1549,34.3,Cigarette Use (Adults)Smoking FrequencySome Days,2012NM
1550,65.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012NM
1551,55.8,Cigarette Use (Adults)Smoking StatusNever,2012NM
1552,24.9,Cigarette Use (Adults)Smoking StatusFormer,2012NM
1553,19.3,Cigarette Use (Adults)Smoking StatusCurrent,2012NM
1554,16.2,Cigarette Use (Adults)Current Smoking,2012NY
1555,60.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012NY
1556,60.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012NY
1557,34.3,Cigarette Use (Adults)Smoking FrequencySome Days,2012NY
1558,65.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012NY
1559,16.2,Cigarette Use (Adults)Smoking StatusCurrent,2012NY
1560,25.2,Cigarette Use (Adults)Smoking StatusFormer,2012NY
1561,58.6,Cigarette Use (Adults)Smoking StatusNever,2012NY
1562,20.9,Cigarette Use (Adults)Current Smoking,2012NC
1563,55.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012NC
1564,55.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012NC
1565,71.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012NC
1566,29.0,Cigarette Use (Adults)Smoking FrequencySome Days,2012NC
1567,20.9,Cigarette Use (Adults)Smoking StatusCurrent,2012NC
1568,53.6,Cigarette Use (Adults)Smoking StatusNever,2012NC
1569,25.5,Cigarette Use (Adults)Smoking StatusFormer,2012NC
1570,21.2,Cigarette Use (Adults)Current Smoking,2012ND
1571,53.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012ND
1572,45.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012ND
1573,73.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012ND
1574,27.0,Cigarette Use (Adults)Smoking FrequencySome Days,2012ND
1575,54.1,Cigarette Use (Adults)Smoking StatusNever,2012ND
1576,21.2,Cigarette Use (Adults)Smoking StatusCurrent,2012ND
1577,24.7,Cigarette Use (Adults)Smoking StatusFormer,2012ND
1578,23.3,Cigarette Use (Adults)Current Smoking,2012OH
1579,51.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012OH
1580,49.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012OH
1581,22.5,Cigarette Use (Adults)Smoking FrequencySome Days,2012OH
1582,77.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012OH
1583,52.1,Cigarette Use (Adults)Smoking StatusNever,2012OH
1584,24.6,Cigarette Use (Adults)Smoking StatusFormer,2012OH
1585,23.3,Cigarette Use (Adults)Smoking StatusCurrent,2012OH
1586,23.3,Cigarette Use (Adults)Current Smoking,2012OK
1587,51.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012OK
1588,55.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012OK
1589,27.1,Cigarette Use (Adults)Smoking FrequencySome Days,2012OK
1590,72.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012OK
1591,52.4,Cigarette Use (Adults)Smoking StatusNever,2012OK
1592,24.4,Cigarette Use (Adults)Smoking StatusFormer,2012OK
1593,23.3,Cigarette Use (Adults)Smoking StatusCurrent,2012OK
1594,17.9,Cigarette Use (Adults)Current Smoking,2012OR
1595,60.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012OR
1596,56.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012OR
1597,66.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012OR
1598,33.3,Cigarette Use (Adults)Smoking FrequencySome Days,2012OR
1599,54.4,Cigarette Use (Adults)Smoking StatusNever,2012OR
1600,17.9,Cigarette Use (Adults)Smoking StatusCurrent,2012OR
1601,27.8,Cigarette Use (Adults)Smoking StatusFormer,2012OR
1602,21.4,Cigarette Use (Adults)Current Smoking,2012PA
1603,54.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012PA
1604,54.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012PA
1605,26.7,Cigarette Use (Adults)Smoking FrequencySome Days,2012PA
1606,73.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012PA
1607,53.2,Cigarette Use (Adults)Smoking StatusNever,2012PA
1608,25.5,Cigarette Use (Adults)Smoking StatusFormer,2012PA
1609,21.4,Cigarette Use (Adults)Smoking StatusCurrent,2012PA
1610,12.6,Cigarette Use (Adults)Current Smoking,2012PR
1611,61.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012PR
1612,64.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012PR
1613,74.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012PR
1614,25.3,Cigarette Use (Adults)Smoking FrequencySome Days,2012PR
1615,19.8,Cigarette Use (Adults)Smoking StatusFormer,2012PR
1616,67.6,Cigarette Use (Adults)Smoking StatusNever,2012PR
1617,12.6,Cigarette Use (Adults)Smoking StatusCurrent,2012PR
1618,17.4,Cigarette Use (Adults)Current Smoking,2012RI
1619,61.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012RI
1620,52.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012RI
1621,30.5,Cigarette Use (Adults)Smoking FrequencySome Days,2012RI
1622,69.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012RI
1623,54.9,Cigarette Use (Adults)Smoking StatusNever,2012RI
1624,17.4,Cigarette Use (Adults)Smoking StatusCurrent,2012RI
1625,27.6,Cigarette Use (Adults)Smoking StatusFormer,2012RI
1626,22.5,Cigarette Use (Adults)Current Smoking,2012SC
1627,53.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012SC
1628,56.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012SC
1629,32.3,Cigarette Use (Adults)Smoking FrequencySome Days,2012SC
1630,67.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012SC
1631,22.5,Cigarette Use (Adults)Smoking StatusCurrent,2012SC
1632,51.8,Cigarette Use (Adults)Smoking StatusNever,2012SC
1633,25.6,Cigarette Use (Adults)Smoking StatusFormer,2012SC
1634,22.0,Cigarette Use (Adults)Current Smoking,2012SD
1635,54.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012SD
1636,44.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012SD
1637,30.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012SD
1638,69.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012SD
1639,51.6,Cigarette Use (Adults)Smoking StatusNever,2012SD
1640,26.5,Cigarette Use (Adults)Smoking StatusFormer,2012SD
1641,22.0,Cigarette Use (Adults)Smoking StatusCurrent,2012SD
1642,24.9,Cigarette Use (Adults)Current Smoking,2012TN
1643,49.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012TN
1644,57.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012TN
1645,75.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012TN
1646,24.5,Cigarette Use (Adults)Smoking FrequencySome Days,2012TN
1647,24.9,Cigarette Use (Adults)Smoking StatusCurrent,2012TN
1648,51.0,Cigarette Use (Adults)Smoking StatusNever,2012TN
1649,24.2,Cigarette Use (Adults)Smoking StatusFormer,2012TN
1650,54.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012TX
1651,55.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012TX
1652,63.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012TX
1653,36.5,Cigarette Use (Adults)Smoking FrequencySome Days,2012TX
1654,60.4,Cigarette Use (Adults)Smoking StatusNever,2012TX
1655,18.2,Cigarette Use (Adults)Smoking StatusCurrent,2012TX
1656,21.4,Cigarette Use (Adults)Smoking StatusFormer,2012TX
1657,10.6,Cigarette Use (Adults)Current Smoking,2012UT
1658,61.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012UT
1659,59.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012UT
1660,31.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012UT
1661,68.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012UT
1662,72.9,Cigarette Use (Adults)Smoking StatusNever,2012UT
1663,16.5,Cigarette Use (Adults)Smoking StatusFormer,2012UT
1664,10.6,Cigarette Use (Adults)Smoking StatusCurrent,2012UT
1665,16.5,Cigarette Use (Adults)Current Smoking,2012VT
1666,65.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012VT
1667,57.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012VT
1668,28.1,Cigarette Use (Adults)Smoking FrequencySome Days,2012VT
1669,71.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012VT
1670,52.8,Cigarette Use (Adults)Smoking StatusNever,2012VT
1671,16.5,Cigarette Use (Adults)Smoking StatusCurrent,2012VT
1672,30.8,Cigarette Use (Adults)Smoking StatusFormer,2012VT
1673,19.0,Cigarette Use (Adults)Current Smoking,2012VA
1674,55.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012VA
1675,52.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012VA
1676,31.3,Cigarette Use (Adults)Smoking FrequencySome Days,2012VA
1677,68.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012VA
1678,57.2,Cigarette Use (Adults)Smoking StatusNever,2012VA
1679,23.8,Cigarette Use (Adults)Smoking StatusFormer,2012VA
1680,19.0,Cigarette Use (Adults)Smoking StatusCurrent,2012VA
1681,17.2,Cigarette Use (Adults)Current Smoking,2012WA
1682,60.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012WA
1683,51.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012WA
1684,32.0,Cigarette Use (Adults)Smoking FrequencySome Days,2012WA
1685,68.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012WA
1686,17.2,Cigarette Use (Adults)Smoking StatusCurrent,2012WA
1687,56.3,Cigarette Use (Adults)Smoking StatusNever,2012WA
1688,26.6,Cigarette Use (Adults)Smoking StatusFormer,2012WA
1689,28.2,Cigarette Use (Adults)Current Smoking,2012WV
1690,47.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012WV
1691,45.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012WV
1692,14.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012WV
1693,85.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012WV
1694,46.5,Cigarette Use (Adults)Smoking StatusNever,2012WV
1695,25.3,Cigarette Use (Adults)Smoking StatusFormer,2012WV
1696,28.2,Cigarette Use (Adults)Smoking StatusCurrent,2012WV
1697,20.4,Cigarette Use (Adults)Current Smoking,2012WI
1698,57.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012WI
1699,54.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012WI
1700,67.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012WI
1701,32.8,Cigarette Use (Adults)Smoking FrequencySome Days,2012WI
1702,20.4,Cigarette Use (Adults)Smoking StatusCurrent,2012WI
1703,27.0,Cigarette Use (Adults)Smoking StatusFormer,2012WI
1704,52.7,Cigarette Use (Adults)Smoking StatusNever,2012WI
1705,21.8,Cigarette Use (Adults)Current Smoking,2012WY
1706,53.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2012WY
1707,49.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2012WY
1708,28.9,Cigarette Use (Adults)Smoking FrequencySome Days,2012WY
1709,71.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2012WY
1710,24.7,Cigarette Use (Adults)Smoking StatusFormer,2012WY
1711,21.8,Cigarette Use (Adults)Smoking StatusCurrent,2012WY
1712,53.6,Cigarette Use (Adults)Smoking StatusNever,2012WY
1713,24.3,Cigarette Use (Adults)Current Smoking,2011AL
1714,50.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011AL
1715,51.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011AL
1716,23.6,Cigarette Use (Adults)Smoking FrequencySome Days,2011AL
1717,76.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011AL
1718,24.3,Cigarette Use (Adults)Smoking StatusCurrent,2011AL
1719,25.1,Cigarette Use (Adults)Smoking StatusFormer,2011AL
1720,50.6,Cigarette Use (Adults)Smoking StatusNever,2011AL
1721,22.9,Cigarette Use (Adults)Current Smoking,2011AK
1722,54.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011AK
1723,51.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011AK
1724,30.5,Cigarette Use (Adults)Smoking FrequencySome Days,2011AK
1725,69.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011AK
1726,49.1,Cigarette Use (Adults)Smoking StatusNever,2011AK
1727,27.9,Cigarette Use (Adults)Smoking StatusFormer,2011AK
1728,22.9,Cigarette Use (Adults)Smoking StatusCurrent,2011AK
1729,19.3,Cigarette Use (Adults)Current Smoking,2011AZ
1730,56.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011AZ
1731,46.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011AZ
1732,68.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011AZ
1733,32.0,Cigarette Use (Adults)Smoking FrequencySome Days,2011AZ
1734,55.9,Cigarette Use (Adults)Smoking StatusNever,2011AZ
1735,19.3,Cigarette Use (Adults)Smoking StatusCurrent,2011AZ
1736,24.9,Cigarette Use (Adults)Smoking StatusFormer,2011AZ
1737,27.0,Cigarette Use (Adults)Current Smoking,2011AR
1738,48.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011AR
1739,50.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011AR
1740,25.3,Cigarette Use (Adults)Smoking FrequencySome Days,2011AR
1741,74.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011AR
1742,27.0,Cigarette Use (Adults)Smoking StatusCurrent,2011AR
1743,47.9,Cigarette Use (Adults)Smoking StatusNever,2011AR
1744,25.1,Cigarette Use (Adults)Smoking StatusFormer,2011AR
1745,13.7,Cigarette Use (Adults)Current Smoking,2011CA
1746,63.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011CA
1747,52.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011CA
1748,63.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011CA
1749,36.8,Cigarette Use (Adults)Smoking FrequencySome Days,2011CA
1750,13.7,Cigarette Use (Adults)Smoking StatusCurrent,2011CA
1751,23.9,Cigarette Use (Adults)Smoking StatusFormer,2011CA
1752,62.5,Cigarette Use (Adults)Smoking StatusNever,2011CA
1753,18.3,Cigarette Use (Adults)Current Smoking,2011CO
1754,59.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011CO
1755,51.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011CO
1756,67.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011CO
1757,32.7,Cigarette Use (Adults)Smoking FrequencySome Days,2011CO
1758,18.3,Cigarette Use (Adults)Smoking StatusCurrent,2011CO
1759,27.1,Cigarette Use (Adults)Smoking StatusFormer,2011CO
1760,54.6,Cigarette Use (Adults)Smoking StatusNever,2011CO
1761,17.1,Cigarette Use (Adults)Current Smoking,2011CT
1762,61.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011CT
1763,53.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011CT
1764,30.8,Cigarette Use (Adults)Smoking FrequencySome Days,2011CT
1765,69.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011CT
1766,55.1,Cigarette Use (Adults)Smoking StatusNever,2011CT
1767,27.8,Cigarette Use (Adults)Smoking StatusFormer,2011CT
1768,17.1,Cigarette Use (Adults)Smoking StatusCurrent,2011CT
1769,21.8,Cigarette Use (Adults)Current Smoking,2011DE
1770,56.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011DE
1771,58.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011DE
1772,74.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011DE
1773,25.2,Cigarette Use (Adults)Smoking FrequencySome Days,2011DE
1774,49.9,Cigarette Use (Adults)Smoking StatusNever,2011DE
1775,28.3,Cigarette Use (Adults)Smoking StatusFormer,2011DE
1776,21.8,Cigarette Use (Adults)Smoking StatusCurrent,2011DE
1777,20.8,Cigarette Use (Adults)Current Smoking,2011DC
1778,51.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011DC
1779,54.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011DC
1780,38.3,Cigarette Use (Adults)Smoking FrequencySome Days,2011DC
1781,61.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011DC
1782,20.8,Cigarette Use (Adults)Smoking StatusCurrent,2011DC
1783,22.0,Cigarette Use (Adults)Smoking StatusFormer,2011DC
1784,57.2,Cigarette Use (Adults)Smoking StatusNever,2011DC
1785,19.3,Cigarette Use (Adults)Current Smoking,2011FL
1786,59.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011FL
1787,54.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011FL
1788,30.0,Cigarette Use (Adults)Smoking FrequencySome Days,2011FL
1789,70.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011FL
1790,52.8,Cigarette Use (Adults)Smoking StatusNever,2011FL
1791,27.9,Cigarette Use (Adults)Smoking StatusFormer,2011FL
1792,19.3,Cigarette Use (Adults)Smoking StatusCurrent,2011FL
1793,21.2,Cigarette Use (Adults)Current Smoking,2011GA
1794,51.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011GA
1795,54.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011GA
1796,32.5,Cigarette Use (Adults)Smoking FrequencySome Days,2011GA
1797,67.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011GA
1798,22.1,Cigarette Use (Adults)Smoking StatusFormer,2011GA
1799,21.2,Cigarette Use (Adults)Smoking StatusCurrent,2011GA
1800,56.7,Cigarette Use (Adults)Smoking StatusNever,2011GA
1801,30.5,Cigarette Use (Adults)Current Smoking,2011GU
1802,32.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011GU
1803,52.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011GU
1804,69.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011GU
1805,30.9,Cigarette Use (Adults)Smoking FrequencySome Days,2011GU
1806,14.6,Cigarette Use (Adults)Smoking StatusFormer,2011GU
1807,30.5,Cigarette Use (Adults)Smoking StatusCurrent,2011GU
1808,16.8,Cigarette Use (Adults)Current Smoking,2011HI
1809,60.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011HI
1810,46.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011HI
1811,72.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011HI
1812,27.6,Cigarette Use (Adults)Smoking FrequencySome Days,2011HI
1813,57.3,Cigarette Use (Adults)Smoking StatusNever,2011HI
1814,16.8,Cigarette Use (Adults)Smoking StatusCurrent,2011HI
1815,25.9,Cigarette Use (Adults)Smoking StatusFormer,2011HI
1816,17.2,Cigarette Use (Adults)Current Smoking,2011ID
1817,58.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011ID
1818,45.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011ID
1819,27.9,Cigarette Use (Adults)Smoking FrequencySome Days,2011ID
1820,72.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011ID
1821,24.4,Cigarette Use (Adults)Smoking StatusFormer,2011ID
1822,17.2,Cigarette Use (Adults)Smoking StatusCurrent,2011ID
1823,58.5,Cigarette Use (Adults)Smoking StatusNever,2011ID
1824,20.9,Cigarette Use (Adults)Current Smoking,2011IL
1825,53.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011IL
1826,52.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011IL
1827,31.6,Cigarette Use (Adults)Smoking FrequencySome Days,2011IL
1828,68.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011IL
1829,20.9,Cigarette Use (Adults)Smoking StatusCurrent,2011IL
1830,24.4,Cigarette Use (Adults)Smoking StatusFormer,2011IL
1831,54.7,Cigarette Use (Adults)Smoking StatusNever,2011IL
1832,25.6,Cigarette Use (Adults)Current Smoking,2011IN
1833,49.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011IN
1834,51.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011IN
1835,75.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011IN
1836,24.3,Cigarette Use (Adults)Smoking FrequencySome Days,2011IN
1837,49.7,Cigarette Use (Adults)Smoking StatusNever,2011IN
1838,24.7,Cigarette Use (Adults)Smoking StatusFormer,2011IN
1839,25.6,Cigarette Use (Adults)Smoking StatusCurrent,2011IN
1840,20.4,Cigarette Use (Adults)Current Smoking,2011IA
1841,55.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011IA
1842,48.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011IA
1843,76.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011IA
1844,23.7,Cigarette Use (Adults)Smoking FrequencySome Days,2011IA
1845,54.6,Cigarette Use (Adults)Smoking StatusNever,2011IA
1846,20.4,Cigarette Use (Adults)Smoking StatusCurrent,2011IA
1847,25.0,Cigarette Use (Adults)Smoking StatusFormer,2011IA
1848,22.0,Cigarette Use (Adults)Current Smoking,2011KS
1849,50.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011KS
1850,49.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011KS
1851,23.1,Cigarette Use (Adults)Smoking FrequencySome Days,2011KS
1852,76.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011KS
1853,22.4,Cigarette Use (Adults)Smoking StatusFormer,2011KS
1854,55.6,Cigarette Use (Adults)Smoking StatusNever,2011KS
1855,22.0,Cigarette Use (Adults)Smoking StatusCurrent,2011KS
1856,29.0,Cigarette Use (Adults)Current Smoking,2011KY
1857,45.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011KY
1858,47.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011KY
1859,18.8,Cigarette Use (Adults)Smoking FrequencySome Days,2011KY
1860,81.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011KY
1861,29.0,Cigarette Use (Adults)Smoking StatusCurrent,2011KY
1862,24.2,Cigarette Use (Adults)Smoking StatusFormer,2011KY
1863,46.8,Cigarette Use (Adults)Smoking StatusNever,2011KY
1864,25.7,Cigarette Use (Adults)Current Smoking,2011LA
1865,46.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2011LA
1866,54.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2011LA
1867,25.0,Cigarette Use (Adults)Smoking FrequencySome Days,2011LA
1868,75.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2011LA
1869,52.2,Cigarette Use (Adults)Smoking StatusNever,2011LA
1870,25.7,Cigarette Use (Adults)Smoking StatusCurrent,2011LA
1871,22.0,Cigarette Use (Adults)Smoking StatusFormer,2011LA
1872,22.8,Cigarette Use (Adults)Current Smoking,2011ME
